function,level,weighted_score
PauseProgram,L5,0.7654377229054765
ScreenHeader,L5,0.7420651602427162
ReadIntBetween,L5,0.7960811070442197
ReadDate,L5,0.7713540095329283
ReadTime,L5,0.7537217015584307
IsDate1BeforeDate2,L5,0.850099100399017
IsTime1BeforeTime2,L5,0.7705155308405556
ExitScreen,L5,0.6545989532947538
MainMenu,L5,0.7563720551808673
main,L5,0.6627067488352455
DisplayUserCard,L5,0.7553507644971209
ReadUserInfo,L5,0.7262703466733295
SearchUserByFirstName,L5,0.7404168630599974
SearchUserByID,L5,0.47764407631556227
AddNewUser,L5,0.7841854591687518
DeleteUserByID,L5,0.8232635882059731
AddNewUserScreen,L5,0.7604090503374733
SearchUserByFirstNameScreen,L5,0.7549078061103818
SearchUserByIDScreen,L5,0.7732058982213336
DisplayUserListScreen,L5,0.7223362585067747
DeleteUserScreen,L5,0.44262615222930946
UserManagementMenu,L5,0.7553095823605853
DisplayRoomCard,L5,0.8061920077959694
ReadRoomInfo,L5,0.7761416573524473
SearchRoomByID,L5,0.7666465563774105
AddNewRoom,L5,0.7959399873415627
SearchRoomByName,L5,0.7928046567281084
DeleteRoomByID,L5,0.763886128425598
AddNewRoomScreen,L5,0.77792960468928
SearchRoomByNameScreen,L5,0.4061233769098921
SearchRoomByIDScreen,L5,0.7775070720990497
DisplayRoomListScreen,L5,0.7465772923469541
DeleteRoomScreen,L5,0.7393244221687315
CheckRoomAvailabilityScreen,L5,0.8181417019844053
RoomManagementMenu,L5,0.7554033251762388
DisplayReservationCard,L5,0.6558076794942217
SearchReservationByID,L5,0.7790312908490497
DeleteReservationByID,L5,0.7772369509696959
ReadReservationPeriod,L5,0.7562332248687742
ReadReservationInfo,L5,0.41339434661865265
AddNewReservation,L5,0.842489836279551
AddNewReservationScreen,L5,0.7117516368230182
DeleteReservationScreen,L5,0.7421802005449928
DisplayReservationsScreen,L5,0.7769293851534523
SwapReservationData,L5,0.7811259375572202
SortReservationsByDate,L5,0.7238147509256996
SortReservationsByDateScreen,L5,0.7028168324788409
ReservationManagementMenu,L5,0.7597482271194456
PauseProgram,L6,0.7661960562388099
ScreenHeader,L6,0.7304319620768227
ReadIntBetween,L6,0.7953811070442198
ReadDate,L6,0.7803873428662615
ReadTime,L6,0.7537217015584307
IsDate1BeforeDate2,L6,0.8515574337323504
IsTime1BeforeTime2,L6,0.8008709421793618
ExitScreen,L6,0.6169913950920103
MainMenu,L6,0.7580358532905577
main,L6,0.6779947243054705
DisplayUserCard,L6,0.7670953776041665
ReadUserInfo,L6,0.744763525422414
SearchUserByFirstName,L6,0.7369931913693744
SearchUserByID,L6,0.45595186144510935
AddNewUser,L6,0.7679157590230303
DeleteUserByID,L6,0.8621747321446733
AddNewUserScreen,L6,0.7678801025390622
SearchUserByFirstNameScreen,L6,0.763054704793294
SearchUserByIDScreen,L6,0.773608429431915
DisplayUserListScreen,L6,0.7202529251734413
DeleteUserScreen,L6,0.4408577166875207
UserManagementMenu,L6,0.7667823757807413
DisplayRoomCard,L6,0.79667669022878
ReadRoomInfo,L6,0.7807690194447833
SearchRoomByID,L6,0.7572827032725014
AddNewRoom,L6,0.774386570103963
SearchRoomByName,L6,0.8185497188568113
DeleteRoomByID,L6,0.7751128741900124
AddNewRoomScreen,L6,0.7693151241938271
SearchRoomByNameScreen,L6,0.4158515635808312
SearchRoomByIDScreen,L6,0.8004658152262367
DisplayRoomListScreen,L6,0.7430412959098813
DeleteRoomScreen,L6,0.7700767033894854
CheckRoomAvailabilityScreen,L6,0.8175159640312193
RoomManagementMenu,L6,0.7400133094787595
DisplayReservationCard,L6,0.7181967346509295
SearchReservationByID,L6,0.7927076293309527
DeleteReservationByID,L6,0.7760125525474546
ReadReservationPeriod,L6,0.7860313026746112
ReadReservationInfo,L6,0.4299749817530317
AddNewReservation,L6,0.8160471238454181
AddNewReservationScreen,L6,0.7371848787943519
DeleteReservationScreen,L6,0.7581385338783262
DisplayReservationsScreen,L6,0.7789508730888364
SwapReservationData,L6,0.7815671701113381
SortReservationsByDate,L6,0.7240822881698605
SortReservationsByDateScreen,L6,0.7243918324788409
ReservationManagementMenu,L6,0.7978140178998309
PauseProgram,L7,0.7699710562388099
ScreenHeader,L7,0.7261486287434893
ReadIntBetween,L7,0.7857311070442198
ReadDate,L7,0.7753701814969378
ReadTime,L7,0.7491677193005877
IsDate1BeforeDate2,L7,0.831324100399017
IsTime1BeforeTime2,L7,0.7881905308405556
ExitScreen,L7,0.6592657155831653
MainMenu,L7,0.7580358532905577
main,L7,0.6850794617652891
DisplayUserCard,L7,0.7817395831743874
ReadUserInfo,L7,0.7508644294420876
SearchUserByFirstName,L7,0.7528389110565183
SearchUserByID,L7,0.4739597179730737
AddNewUser,L7,0.7668160632769265
DeleteUserByID,L7,0.8572971641222634
AddNewUserScreen,L7,0.7559177448590595
SearchUserByFirstNameScreen,L7,0.7627127478917437
SearchUserByIDScreen,L7,0.7797475648880002
DisplayUserListScreen,L7,0.72119398317337
DeleteUserScreen,L7,0.4338604421933495
UserManagementMenu,L7,0.7659547976493832
DisplayRoomCard,L7,0.822563580481211
ReadRoomInfo,L7,0.7232064622561134
SearchRoomByID,L7,0.7670086829185483
AddNewRoom,L7,0.7669180525779722
SearchRoomByName,L7,0.8354003800392148
DeleteRoomByID,L7,0.8091693537076312
AddNewRoomScreen,L7,0.7609821961720783
SearchRoomByNameScreen,L7,0.7397493313471473
SearchRoomByIDScreen,L7,0.7748096285184223
DisplayRoomListScreen,L7,0.7522972571055093
DeleteRoomScreen,L7,0.7360519661267596
CheckRoomAvailabilityScreen,L7,0.8092772793451943
RoomManagementMenu,L7,0.7418153152465818
DisplayReservationCard,L7,0.7181967346509295
SearchReservationByID,L7,0.7873646539688108
DeleteReservationByID,L7,0.7754233103434243
ReadReservationPeriod,L7,0.7219990111668901
ReadReservationInfo,L7,0.4226126597404483
AddNewReservation,L7,0.818074534289042
AddNewReservationScreen,L7,0.7233690374374387
DeleteReservationScreen,L7,0.754882424354553
DisplayReservationsScreen,L7,0.7756030453364052
SwapReservationData,L7,0.7304109805425006
SortReservationsByDate,L7,0.7219864032109575
SortReservationsByDateScreen,L7,0.7422001658121743
ReservationManagementMenu,L7,0.7956409629503883
